FRAGMENT	FPFMIN	FPSMIN	FPFMAX	FPSMAX	FPFAVG	FPSAVG
HNPYBPXXPMVWIY-UHFFFAOYSA-N~O67060	0.00	0.00	0.80	0.80	0.30	0.19
PKRTWUQHAOJXBO-UHFFFAOYSA-N~Q73CU0	0.07	0.00	0.26	0.67	0.14	0.22
OPTASPLRGRRNAP-UHFFFAOYSA-N~O67060	0.08	0.29	1.00	1.00	0.43	0.63
QCHXLHKARBTJRC-UHFFFAOYSA-N~Q73CU0	0.10	0.00	0.27	0.60	0.18	0.20
XGYIMTFOTBMPFP-UHFFFAOYSA-N~Q8Y8D7	0.22	0.00	0.86	1.00	0.35	0.21
GFFGJBXGBJISGV-UHFFFAOYSA-N~O67060	1.00	1.00	1.00	1.00	1.00	1.00
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q922S8	0.34	0.33	0.55	0.67	0.45	0.54
QRTDTRCGZCHEER-UHFFFAOYSA-N~Q73CU0	0.05	0.00	0.36	0.62	0.16	0.21
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q8Y8D7	0.00	0.00	1.00	1.00	0.27	0.35
RNRYNNACICANRG-UHFFFAOYSA-N~Q8Y8D7	0.00	0.00	1.00	1.00	0.25	0.20
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q96W94	1.00	1.00	1.00	1.00	1.00	1.00
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q73CU0	1.00	1.00	1.00	1.00	1.00	1.00
VVDIZWFSGJERMA-UHFFFAOYSA-N~Q8Y8D7	1.00	0.00	1.00	1.00	1.00	0.33
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q922S8	0.08	0.25	1.00	1.00	0.48	0.62
PKRTWUQHAOJXBO-UHFFFAOYSA-N~Q8Y8D7	0.00	0.00	1.00	1.00	0.14	0.26
DOMXBIBBBIULRS-UHFFFAOYSA-N~Q73CU0	0.05	0.00	0.29	0.57	0.15	0.19
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q96W94	1.00	1.00	1.00	1.00	1.00	1.00
QCHXLHKARBTJRC-UHFFFAOYSA-N~Q8Y8D7	0.00	0.00	1.00	1.00	0.19	0.18
DOMXBIBBBIULRS-UHFFFAOYSA-N~Q8Y8D7	0.00	0.00	1.00	1.00	0.14	0.34
QRTDTRCGZCHEER-UHFFFAOYSA-N~Q8Y8D7	0.00	0.00	1.00	1.00	0.27	0.45
WRWPPGUCZBJXKX-UHFFFAOYSA-N~P06730	0.00	0.17	0.00	0.17	0.00	0.17
QTBSBXVTEAMEQO-UHFFFAOYSA-N~Q96W94	1.00	1.00	1.00	1.00	1.00	1.00
PCXDJQZLDDHMGX-UHFFFAOYSA-N~Q96W94	0.00	0.33	0.00	0.33	0.00	0.33
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q5SKW5	1.00	0.00	1.00	1.00	1.00	0.47
FLJWVVUJGVNXMZ-UHFFFAOYSA-N~P10845	0.00	0.00	1.00	1.00	0.47	0.47
YNAVUWVOSKDBBP-UHFFFAOYSA-N~O83661	1.00	0.00	1.00	0.00	1.00	0.00
QCHXLHKARBTJRC-UHFFFAOYSA-N~Q2SXY2	0.14	0.40	0.50	0.75	0.27	0.55
CYZZKTRFOOKUMT-UHFFFAOYSA-N~P06730	0.07	0.12	0.45	0.60	0.27	0.32
XTXSRNPFTNSIFY-UHFFFAOYSA-N~O83661	0.20	0.00	0.20	0.00	0.20	0.00
QRTDTRCGZCHEER-UHFFFAOYSA-N~Q2SXY2	0.09	0.38	0.53	0.80	0.30	0.54
KEHOVPRAHKJUEO-UHFFFAOYSA-N~P06730	0.25	0.60	0.93	1.00	0.45	0.78
PKRTWUQHAOJXBO-UHFFFAOYSA-N~Q2SXY2	0.11	0.25	0.36	0.80	0.27	0.45
YNQLUTRBYVCPMQ-UHFFFAOYSA-N~P00797	0.00	0.00	1.00	1.00	0.25	0.25
DOMXBIBBBIULRS-UHFFFAOYSA-N~Q2SXY2	0.07	0.50	0.55	0.80	0.26	0.63
TZIHFWKZFHZASV-UHFFFAOYSA-N~P00797	0.00	0.00	1.00	1.00	0.31	0.24
ZWAYGPMHTBGKIW-UHFFFAOYSA-N~O59010	0.00	0.00	1.00	1.00	0.12	0.17
HOSWPDPVFBCLSY-UHFFFAOYSA-N~O59010	0.00	0.09	1.00	1.00	0.26	0.36
CGJJPOYORMGCGE-UHFFFAOYSA-N~O59010	0.00	0.00	1.00	1.00	0.24	0.31
MPCAJMNYNOGXPB-UHFFFAOYSA-N~A0A0H2UHF1	0.73	0.83	0.73	0.83	0.73	0.83
YXFVVABEGXRONW-UHFFFAOYSA-N~P00720	0.00	0.00	0.50	0.00	0.17	0.00
